host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
f,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,85,,1,40,2,10,41,97,f,moderate
t,1,f,Hennepin,Apartment,Entire home/apt,6,1,1,3,Real Bed,89,200,2,15,2,365,131,96,f,strict_14_with_grace_period
t,6,f,Ramsey,Bed and breakfast,Private room,2,1,1,1,Real Bed,195,0,2,35,1,1125,6,97,f,strict_14_with_grace_period
t,2,t,Hennepin,House,Entire home/apt,10,3,4,7,Real Bed,599,350,6,20,3,700,29,96,f,moderate
f,1,t,Ramsey,Loft,Entire home/apt,2,1,1,1,Real Bed,99,200,1,0,80,1125,11,85,t,strict_14_with_grace_period
f,3,t,Hennepin,Apartment,Private room,1,1.5,1,1,Real Bed,59,200,2,10,2,30,0,,f,moderate
f,1,t,Hennepin,House,Private room,3,1,1,2,Real Bed,55,200,1,20,2,14,2,90,f,flexible
t,1,t,Wright,Guest suite,Entire home/apt,3,1,1,2,Real Bed,70,,1,0,2,30,84,100,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,4,1.5,2,2,Real Bed,2000,5000,2,300,7,21,19,99,f,moderate
t,3,t,Hennepin,House,Private room,2,1,1,1,Futon,35,100,1,15,1,9999,52,88,f,strict_14_with_grace_period
t,10,t,Anoka,House,Entire home/apt,5,1.5,3,0,Real Bed,185,350,6,35,3,1125,14,86,f,strict_14_with_grace_period
t,10,t,Anoka,House,Private room,2,1,1,1,Real Bed,85,200,2,40,3,365,9,93,f,strict_14_with_grace_period
t,10,t,Anoka,House,Private room,2,1,1,1,Real Bed,75,200,2,40,3,365,16,99,f,strict_14_with_grace_period
f,3,t,Hennepin,Apartment,Entire home/apt,4,2,2,2,Real Bed,100,,2,15,365,1095,1,100,f,flexible
t,1,t,Hennepin,House,Private room,2,1,1,1,Real Bed,75,0,1,10,1,300,97,98,f,moderate
f,1,t,Hennepin,House,Entire home/apt,10,2,3,6,Real Bed,325,500,5,40,2,21,17,89,f,strict_14_with_grace_period
