host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy
t,1,f,Ramsey,House,Private room,4,1,2,2,40,,2,10,54,f,moderate
t,2,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,125,1000,2,1125,35,f,strict_14_with_grace_period
f,1,t,Dakota,Townhouse,Private room,2,1,1,1,33,,1,1125,2,f,flexible
f,3,t,Hennepin,Apartment,Private room,2,1,1,3,64,0,1,1125,39,t,flexible
t,2,f,Mille Lacs,Hotel,Private room,2,1,1,2,69,,2,1125,19,f,moderate
t,1,t,Hennepin,House,Entire home/apt,3,1,0,1,49,,1,7,172,t,flexible
t,4,f,Hennepin,Apartment,Entire home/apt,2,1,1,1,130,350,3,60,8,f,strict_14_with_grace_period
f,2,f,Hennepin,Guest suite,Private room,2,1,1,1,100,100,4,7,0,f,moderate
t,2,t,Hennepin,House,Private room,4,2,2,2,350,0,3,7,1,t,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,5,1,2,2,160,500,7,365,5,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,4,1.5,2,2,1900,,4,7,0,f,flexible
f,1,t,Hennepin,House,Private room,5,2,3,3,900,,2,1125,0,f,strict_14_with_grace_period
f,2,f,Hennepin,House,Private room,1,1.5,1,1,28,,7,1125,7,f,moderate
f,2,f,Hennepin,Condominium,Entire home/apt,4,1.5,1,1,199,400,2,30,12,t,strict_14_with_grace_period
f,2,f,Hennepin,House,Private room,1,1.5,1,1,30,,7,1125,12,f,flexible
f,1,t,Ramsey,House,Private room,3,1,1,1,38,0,1,1125,94,t,strict_14_with_grace_period
t,1,f,Anoka,House,Entire home/apt,4,1,2,2,78,,1,1125,63,f,strict_14_with_grace_period
t,22,t,Hennepin,Apartment,Entire home/apt,2,1,0,1,69,0,2,60,223,f,moderate
t,2,f,Hennepin,House,Private room,2,1,1,1,40,250,2,100,41,f,moderate
t,2,f,Ramsey,Apartment,Entire home/apt,4,1,2,2,36,900,30,188,8,f,moderate
t,2,f,Hennepin,House,Private room,1,1,1,1,23,100,2,100,41,t,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,5,1,2,3,800,,3,1125,0,t,flexible
t,1,f,Scott,Guest suite,Entire home/apt,4,1,1,1,65,500,2,1125,40,f,moderate
t,2,f,Hennepin,House,Private room,2,1.5,1,0,55,,1,1125,87,f,moderate
t,2,t,Hennepin,House,Private room,2,1,1,1,29,150,3,185,45,t,strict_14_with_grace_period
f,3,t,Hennepin,House,Private room,2,1,1,1,35,0,1,1125,86,f,moderate
t,6,f,Hennepin,Apartment,Entire home/apt,4,1,1,2,110,300,2,1125,10,f,flexible
t,4,f,Hennepin,House,Private room,3,1,1,2,38,0,1,90,42,t,moderate
f,1,t,Hennepin,Apartment,Private room,2,1,1,2,495,150,5,5,0,t,moderate
t,3,t,Hennepin,House,Private room,4,1,2,2,60,200,1,200,36,t,moderate
f,2,t,Hennepin,House,Private room,12,3,4,12,85,150,1,14,17,f,strict_14_with_grace_period
f,10,t,Ramsey,Apartment,Entire home/apt,6,1,2,3,65,100,2,1125,77,t,moderate
f,10,t,Ramsey,Apartment,Entire home/apt,6,1,2,3,60,100,2,1125,107,t,moderate
t,1,f,Hennepin,House,Private room,2,1,1,1,29,,5,1125,27,t,moderate
f,3,t,Hennepin,House,Private room,1,1.5,1,1,55,,3,1125,4,f,flexible
t,1,t,Washington,Townhouse,Private room,2,1,1,1,38,,1,4,74,t,flexible
t,2,t,Hennepin,Guest suite,Entire home/apt,4,1,1,1,74,0,2,1125,197,f,moderate
f,1,t,Hennepin,Townhouse,Private room,1,1.5,1,1,35,,3,5,0,t,moderate
f,1,t,Ramsey,House,Entire home/apt,4,1.5,2,2,100,100,1,7,16,f,moderate
f,1,t,Ramsey,Bungalow,Entire home/apt,6,1.5,3,4,100,200,1,60,37,f,moderate
t,1,t,Hennepin,House,Private room,3,1,1,1,75,0,2,1125,67,t,flexible
t,3,f,Hennepin,Condominium,Entire home/apt,2,1,0,1,195,1000,30,1125,6,f,strict_14_with_grace_period
f,2,f,Sherburne,House,Private room,2,2,1,1,110,250,2,21,0,f,flexible
f,2,f,Sherburne,House,Private room,2,2,1,1,80,250,1,30,1,t,moderate
f,1,f,Hennepin,House,Entire home/apt,8,3.5,4,4,140,400,4,30,4,t,strict_14_with_grace_period
f,1,f,Ramsey,Apartment,Entire home/apt,4,1,1,2,175,0,2,1125,0,t,moderate
f,1,t,Ramsey,House,Private room,4,1,2,2,49,0,1,7,14,f,moderate
f,10,t,Ramsey,Townhouse,Entire home/apt,16,2,4,9,95,200,2,1000,115,t,moderate
f,10,t,Hennepin,Apartment,Entire home/apt,16,2,4,5,115,200,2,1125,126,t,moderate
t,1,t,Ramsey,House,Entire home/apt,12,3.5,7,7,650,500,2,30,34,f,strict_14_with_grace_period
f,1,f,Chisago,House,Entire home/apt,16,3,5,10,450,1500,2,7,13,f,strict_14_with_grace_period
f,1,t,Anoka,House,Entire home/apt,6,3,3,3,215,,1,1125,0,t,flexible
t,1,f,Hennepin,House,Private room,2,1,1,1,85,1000,1,1125,25,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,2,75,0,2,30,0,f,moderate
t,3,f,Hennepin,House,Private room,2,1,1,1,100,,1,45,65,t,flexible
f,1,t,Hennepin,House,Private room,6,1.5,2,2,115,0,2,1125,7,f,moderate
f,1,f,Hennepin,House,Private room,3,1,2,4,25,,1,1125,1,t,flexible
t,1,f,Hennepin,Guest suite,Entire home/apt,4,1,1,1,119,0,2,90,118,t,moderate
f,1,t,Ramsey,Apartment,Private room,2,1,1,1,50,,1,1,12,f,flexible
t,2,t,Isanti,Bed and breakfast,Private room,3,1.5,1,2,150,300,1,1125,17,t,strict_14_with_grace_period
t,5,t,Hennepin,House,Entire home/apt,4,1,1,1,97,150,1,1125,195,f,moderate
t,1,t,Hennepin,House,Private room,3,1.5,1,1,50,,1,30,52,f,flexible
f,1,f,Washington,House,Entire home/apt,10,3.5,4,7,450,500,30,60,21,t,moderate
f,3,f,Anoka,House,Private room,2,1,1,1,45,100,7,1125,0,f,flexible
f,1,f,Washington,House,Private room,7,2.5,3,3,1500,,3,12,0,t,flexible
f,1,t,Hennepin,House,Entire home/apt,3,1,3,2,85,500,4,120,16,t,moderate
t,13,t,Ramsey,Guest suite,Entire home/apt,7,1,3,3,200,,2,1125,63,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,6,2,2,2,445,225,3,10,4,f,strict_14_with_grace_period
t,6,f,Hennepin,Apartment,Entire home/apt,6,1,2,3,114,0,1,1125,200,t,flexible
f,1,t,Hennepin,Loft,Entire home/apt,5,1.5,1,3,125,100,1,1125,0,f,moderate
t,48,t,Hennepin,House,Entire home/apt,8,1,3,4,175,0,1,28,38,f,strict_14_with_grace_period
t,2,t,Ramsey,House,Entire home/apt,8,1,4,5,48,0,1,20,185,t,flexible
f,1,t,Hennepin,House,Entire home/apt,3,1,1,1,65,,2,30,5,f,strict_14_with_grace_period
t,2,t,Ramsey,House,Entire home/apt,8,1.5,3,3,115,500,2,180,47,f,strict_14_with_grace_period
t,1,f,Hennepin,House,Private room,2,1,1,1,125,0,1,1125,24,t,moderate
f,1,f,Hennepin,Apartment,Entire home/apt,6,1,1,2,61,150,2,1125,1,f,flexible
f,1,f,Hennepin,House,Entire home/apt,10,3.5,4,5,2500,2500,3,1125,0,t,strict_14_with_grace_period
t,1,t,Hennepin,Townhouse,Entire home/apt,2,1,1,1,90,1000,5,1125,19,f,moderate
t,48,t,Hennepin,House,Private room,2,1,1,1,49,0,1,28,178,t,moderate
t,1,t,Ramsey,Guest suite,Entire home/apt,2,1,1,1,70,100,1,1124,181,f,flexible
f,1,f,Hennepin,House,Entire home/apt,4,2,3,4,350,,3,4,0,t,moderate
t,0,t,Hennepin,House,Entire home/apt,4,1,1,1,85,100,2,1125,76,f,moderate
t,4,t,Hennepin,House,Entire home/apt,5,1,1,2,118,500,2,30,238,f,strict_14_with_grace_period
f,2,t,Hennepin,House,Entire home/apt,8,3.5,4,4,500,1500,3,1125,9,f,flexible
f,1,t,Ramsey,Apartment,Private room,1,1,1,1,35,,1,20,8,t,flexible
t,2,t,Hennepin,House,Private room,2,1,1,1,77,100,2,1125,5,f,moderate
f,1,t,Hennepin,Apartment,Entire home/apt,4,2,2,2,40,0,2,7,7,f,flexible
t,2,t,Hennepin,Condominium,Entire home/apt,4,1,1,2,140,100,30,1125,56,t,moderate
f,1,f,Hennepin,House,Entire home/apt,4,2.5,3,1,150,,1,1125,0,t,flexible
f,1,f,Hennepin,House,Private room,2,1,1,1,39,,1,1125,4,f,flexible
t,5,t,Hennepin,House,Private room,2,1.5,1,1,35,0,3,14,6,t,moderate
f,1,f,Ramsey,House,Private room,2,1,1,1,40,300,1,100,45,f,moderate
f,6,t,Ramsey,Apartment,Entire home/apt,6,1,2,3,68,100,2,1125,117,t,moderate
f,1,f,Ramsey,House,Entire home/apt,4,1,2,2,800,,3,9,0,t,moderate
t,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,2,100,250,2,1125,27,t,flexible
t,2,t,Ramsey,House,Private room,6,1,2,3,75,500,2,21,66,f,moderate
t,1,t,Hennepin,House,Private room,1,1,1,1,35,100,4,30,63,f,moderate
f,1,f,Ramsey,Guest suite,Entire home/apt,2,1,1,1,50,,1,1125,1,t,flexible
t,1,f,Hennepin,Guest suite,Entire home/apt,2,1,1,1,54,,1,1125,292,f,moderate
f,1,t,Hennepin,Condominium,Entire home/apt,2,1,1,2,189,,1,1125,25,f,moderate
t,48,t,Hennepin,House,Private room,2,1,1,1,49,0,1,28,177,t,moderate
t,48,t,Hennepin,House,Private room,2,1,1,1,49,0,1,28,153,t,moderate
f,4,t,Hennepin,House,Entire home/apt,12,3.5,4,6,1000,750,3,1125,4,f,strict_14_with_grace_period
f,10,t,Ramsey,House,Entire home/apt,14,2,3,6,85,200,2,1125,98,t,moderate
t,1,t,Ramsey,House,Private room,3,1,1,2,55,,1,8,57,f,moderate
f,1,f,Hennepin,Serviced apartment,Entire home/apt,5,1.5,2,5,189,100,1,1125,53,f,flexible
f,1,f,Chisago,Other,Private room,1,1,1,1,45,,30,90,0,t,flexible
f,1,t,Ramsey,House,Entire home/apt,6,1,3,4,1000,200,2,1125,4,f,strict_14_with_grace_period
f,2,t,Hennepin,Townhouse,Private room,1,1,1,1,50,0,2,90,60,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1,1,1,130,0,2,6,2,t,strict_14_with_grace_period
t,1,t,Hennepin,Guest suite,Private room,5,1,1,2,85,0,1,21,87,f,flexible
t,1,t,Ramsey,House,Entire home/apt,8,2,4,4,185,0,2,300,13,f,moderate
t,1,f,Hennepin,House,Private room,2,1.5,1,1,36,,2,10,89,f,flexible
t,2,f,Hennepin,House,Private room,1,1.5,1,1,61,0,2,1125,26,t,moderate
f,1,f,Hennepin,House,Entire home/apt,8,2.5,3,2,800,1500,4,14,0,f,flexible
f,1,f,Hennepin,House,Entire home/apt,6,1,2,3,51,,1,1125,53,t,flexible
t,1,t,Mille Lacs,Cabin,Entire home/apt,12,2.5,4,9,225,400,5,10,31,t,moderate
f,2,f,Hennepin,Condominium,Entire home/apt,4,2,2,2,109,,3,365,5,f,strict_14_with_grace_period
t,1,f,Ramsey,Guesthouse,Entire home/apt,3,1,1,1,150,250,2,29,16,f,moderate
t,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,1,89,150,1,1125,129,t,moderate
f,1,t,Hennepin,Condominium,Entire home/apt,2,2,1,1,105,350,2,1125,3,f,flexible
f,1,f,Scott,House,Private room,2,2,1,1,150,150,10,10,0,t,flexible
f,1,t,Anoka,House,Entire home/apt,10,3,4,5,415,1000,2,1125,2,f,strict_14_with_grace_period
f,1,f,Ramsey,House,Private room,1,1,1,1,100,,7,7,0,t,flexible
f,1,t,Hennepin,House,Entire home/apt,6,2,0,6,400,,4,7,0,f,flexible
f,1,f,Wright,House,Entire home/apt,8,2,4,4,210,500,5,14,20,t,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,3,1,1,1,50,300,1,1125,10,f,flexible
f,1,f,Hennepin,House,Entire home/apt,8,2,2,2,1250,5000,4,9,0,t,strict_14_with_grace_period
f,1,f,Ramsey,House,Private room,7,2,5,7,9000,,4,1125,0,t,flexible
f,1,f,Ramsey,House,Entire home/apt,7,2,4,4,1400,2500,3,3,0,f,moderate
f,1,t,Hennepin,House,Entire home/apt,4,1,2,5,190,250,2,1125,56,t,moderate
f,1,f,Hennepin,House,Private room,1,2,1,1,60,,1,2,0,t,flexible
f,1,f,Hennepin,House,Entire home/apt,6,1,2,3,2000,1000,4,8,0,f,strict_14_with_grace_period
f,1,t,Hennepin,Apartment,Private room,3,1,1,2,60,,2,6,4,f,strict_14_with_grace_period
f,1,t,Hennepin,Apartment,Private room,2,1,1,1,125,,1,1125,0,f,flexible
f,1,f,Carver,Apartment,Entire home/apt,4,1,2,2,2500,,1,1125,0,t,flexible
f,1,t,Washington,House,Entire home/apt,10,4.5,5,5,3000,3000,3,14,0,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1,1,1,35,250,2,33,16,f,flexible
f,1,t,St. Croix,Villa,Entire home/apt,10,2.5,5,4,779,1000,2,27,15,f,moderate
f,1,t,Hennepin,House,Entire home/apt,8,1.5,4,4,1000,,2,14,0,f,flexible
t,4,t,St. Croix,House,Private room,8,2,1,2,55,,1,365,84,f,flexible
f,1,f,Hennepin,House,Entire home/apt,6,2,3,3,3000,1000,2,14,0,t,moderate
f,1,f,Dakota,House,Entire home/apt,16,3,4,5,2200,,3,1125,0,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,10,5.5,5,5,5000,5000,4,7,0,f,flexible
f,1,f,Carver,House,Private room,2,1.5,1,1,100,,1,7,2,t,flexible
t,1,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,76,,3,31,64,f,strict_14_with_grace_period
f,1,f,Scott,House,Private room,8,4.5,4,4,1000,,3,14,0,f,moderate
t,2,t,Ramsey,Guest suite,Entire home/apt,2,1,1,1,75,0,2,10,94,t,moderate
t,1,t,Hennepin,House,Private room,2,1,0,1,60,0,2,14,136,t,flexible
f,1,f,Washington,Villa,Entire home/apt,10,3.5,5,7,2500,5000,7,7,0,f,strict_14_with_grace_period
f,1,f,Washington,House,Private room,4,1.5,2,2,299,500,3,10,0,f,flexible
f,12,f,Hennepin,House,Entire home/apt,6,1,2,3,90,0,1,365,89,t,strict_14_with_grace_period
f,2,f,Hennepin,House,Private room,2,1,1,1,55,0,1,30,149,f,moderate
f,1,f,Hennepin,House,Private room,1,1,1,1,31,,1,15,15,f,flexible
t,1,t,Hennepin,Apartment,Private room,2,1,1,1,79,,1,1125,116,t,flexible
f,1,f,Washington,House,Entire home/apt,12,4,3,3,1000,200,3,30,0,t,flexible
t,2,f,Ramsey,House,Private room,1,1,1,1,34,100,2,1125,29,f,moderate
t,1,f,Scott,House,Entire home/apt,4,1,2,2,103,500,2,1125,55,t,moderate
f,1,f,Anoka,House,Private room,3,1,1,2,110,0,2,10,4,f,moderate
t,1,f,Hennepin,House,Entire home/apt,6,1,2,2,89,,3,1125,105,t,moderate
t,1,t,Hennepin,House,Entire home/apt,4,1,2,2,145,0,3,1125,29,f,moderate
t,3,f,Hennepin,Apartment,Entire home/apt,6,1,3,3,90,450,1,1125,91,f,moderate
f,1,f,Hennepin,House,Entire home/apt,7,2,3,4,100,,3,7,2,f,moderate
f,1,t,Hennepin,House,Entire home/apt,12,3,5,5,2800,1950,3,7,0,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1,1,1,55,0,2,7,16,f,flexible
t,1,f,Washington,Farm stay,Entire home/apt,8,2,3,4,60,500,2,90,111,t,moderate
f,1,f,Hennepin,Townhouse,Private room,2,2.5,1,1,350,,1,20,0,t,flexible
t,1,f,Ramsey,House,Private room,2,1,1,1,59,0,1,14,137,t,moderate
t,4,t,Ramsey,Cottage,Entire home/apt,4,0.5,1,2,125,300,2,75,36,f,moderate
f,1,t,Hennepin,House,Private room,2,1,1,1,26,,1,1125,72,t,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Entire home/apt,2,1,0,1,85,,1,7,36,f,flexible
f,1,f,Hennepin,Apartment,Private room,1,1,1,1,750,,1,5,0,t,flexible
f,2,t,Chisago,House,Private room,2,1,1,1,70,0,1,120,36,f,moderate
t,1,f,Carver,House,Private room,1,1,1,1,31,,1,14,96,t,flexible
t,4,t,Hennepin,Apartment,Entire home/apt,2,1,0,1,50,100,1,1125,38,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,8,2.5,3,4,2500,500,5,1125,0,f,strict_14_with_grace_period
t,26,f,Ramsey,Apartment,Entire home/apt,4,1,1,2,94,0,1,90,291,f,moderate
t,4,t,Hennepin,Apartment,Entire home/apt,6,1,2,2,94,0,1,1125,200,f,moderate
t,2,f,Mille Lacs,Other,Private room,3,1,1,2,69,,2,1125,26,f,moderate
f,2,t,Hennepin,House,Entire home/apt,5,1,2,2,149,0,2,1125,84,f,strict_14_with_grace_period
f,1,f,Isanti,Cabin,Entire home/apt,12,1.5,3,4,250,0,4,14,2,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Private room,2,1.5,1,1,50,,2,1125,19,f,moderate
f,2,f,Hennepin,House,Private room,1,2,1,1,38,150,28,1125,3,f,flexible
f,1,f,Hennepin,House,Entire home/apt,7,1,4,5,766,0,2,14,0,f,moderate
t,1,t,Hennepin,House,Private room,2,1,1,1,75,,1,1125,102,f,moderate
t,2,t,Ramsey,House,Private room,1,1,1,1,50,0,3,30,12,f,flexible
f,1,f,Hennepin,House,Entire home/apt,12,3.5,6,6,1000,3000,2,10,12,f,strict_14_with_grace_period
t,1,f,Hennepin,House,Entire home/apt,16,2,4,10,129,500,1,1125,157,f,strict_14_with_grace_period
t,1,t,Chisago,Guest suite,Entire home/apt,4,1,1,2,80,0,1,28,136,t,moderate
t,13,t,Ramsey,House,Entire home/apt,16,5.5,9,9,950,1500,3,1125,25,f,strict_14_with_grace_period
t,2,t,Hennepin,Townhouse,Private room,2,2.5,1,1,100,0,1,30,94,f,flexible
t,1,t,Hennepin,House,Entire home/apt,6,1,2,3,120,200,1,21,222,t,moderate
f,1,t,Hennepin,Apartment,Private room,3,1,1,1,60,,1,4,13,t,moderate
f,6,t,Carver,House,Private room,5,1,1,1,55,300,1,1125,74,f,moderate
f,1,f,Hennepin,Apartment,Entire home/apt,4,1,1,1,78,,3,7,0,f,flexible
t,9,t,Hennepin,House,Entire home/apt,16,1.5,4,7,450,400,2,1125,127,f,moderate
t,1,f,Hennepin,House,Private room,6,1.5,3,4,55,1000,1,7,151,t,moderate
f,1,f,Sherburne,House,Entire home/apt,6,1,2,4,185,400,2,30,8,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,8,2,4,3,1000,500,3,10,0,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,8,2.5,4,5,1500,400,2,1125,1,t,strict_14_with_grace_period
t,1,t,Hennepin,House,Entire home/apt,6,2,3,3,135,150,2,365,113,t,moderate
f,1,f,Ramsey,House,Entire home/apt,10,3.5,10,6,3200,0,3,14,0,t,moderate
f,1,f,Hennepin,House,Private room,2,1,1,1,29,,1,7,0,t,flexible
f,1,t,Hennepin,Apartment,Entire home/apt,3,1,1,1,115,,2,1125,2,t,flexible
t,0,f,Hennepin,House,Private room,2,1,1,1,40,0,1,1125,18,f,moderate
t,1,t,Hennepin,House,Private room,4,1,2,2,43,0,1,10,82,f,flexible
t,1,t,Pierce,Cabin,Entire home/apt,4,1,1,1,105,,2,1125,92,f,flexible
f,1,f,Hennepin,House,Entire home/apt,10,2,2,2,750,0,4,7,0,f,flexible
t,1,t,Washington,Townhouse,Entire home/apt,8,2,2,2,80,250,2,60,96,t,moderate
f,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,1,2000,,3,1125,0,t,flexible
t,1,t,Hennepin,House,Entire home/apt,6,1,1,1,129,0,2,1125,23,f,flexible
t,5,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,85,,1,1111,79,f,strict_14_with_grace_period
t,4,t,Hennepin,Townhouse,Private room,2,1,1,1,35,0,1,1125,141,f,strict_14_with_grace_period
t,1,f,Hennepin,Bungalow,Entire home/apt,5,1,1,2,99,200,2,90,147,f,flexible
t,1,f,Hennepin,House,Private room,2,2,1,1,65,0,1,11,67,f,flexible
t,2,t,St. Croix,Apartment,Entire home/apt,4,1,1,3,85,,2,90,90,f,moderate
f,1,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,46,,1,6,4,f,moderate
f,1,f,Ramsey,House,Entire home/apt,2,1,1,1,85,,1,1125,13,f,flexible
t,1,f,Hennepin,House,Private room,3,1,1,1,80,0,1,1125,23,f,flexible
t,6,t,Washington,House,Private room,2,1,1,1,36,0,1,1125,19,f,strict_14_with_grace_period
f,2,t,Hennepin,House,Entire home/apt,3,1,2,2,65,,7,1125,5,f,moderate
f,1,t,Hennepin,House,Entire home/apt,8,3,4,4,95,500,2,14,4,t,strict_14_with_grace_period
t,6,t,Washington,House,Entire home/apt,11,2.5,4,4,485,250,1,1125,32,f,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,7,3,4,4,200,250,2,5,10,f,flexible
f,1,f,St. Croix,House,Entire home/apt,12,3.5,5,6,1000,200,1,6,12,f,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Entire home/apt,5,1,2,2,2500,,1,4,0,t,flexible
t,1,f,Hennepin,House,Entire home/apt,4,1,2,2,99,0,3,90,97,t,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,8,2,4,6,150,750,2,1125,0,f,strict_14_with_grace_period
f,1,f,Hennepin,Guest suite,Private room,2,1,1,2,89,110,2,1125,86,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,6,1.5,3,3,1285,,7,1125,0,t,strict_14_with_grace_period
f,41,f,Hennepin,House,Entire home/apt,16,3,5,12,204,900,6,120,6,f,moderate
t,6,t,Washington,House,Private room,2,1,1,1,30,0,1,1125,44,f,moderate
f,1,f,Hennepin,House,Entire home/apt,8,1.5,3,4,2500,500,2,6,0,t,moderate
f,1,f,Hennepin,House,Private room,2,1,1,1,39,0,2,31,120,f,flexible
f,1,t,Washington,House,Entire home/apt,4,1,2,2,95,0,1,1125,14,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,6,1.5,2,2,125,350,2,1125,23,f,moderate
f,1,f,Ramsey,House,Entire home/apt,12,2.5,3,3,2000,,2,4,0,t,flexible
f,1,t,Hennepin,House,Entire home/apt,14,5,5,7,2000,,4,9,0,f,strict_14_with_grace_period
t,4,t,Dakota,House,Private room,2,2.5,1,1,79,2000,1,120,8,t,moderate
f,2,t,Ramsey,House,Private room,2,1,1,1,40,,2,1125,1,f,flexible
f,1,t,Hennepin,House,Entire home/apt,6,3,3,3,2500,1000,3,7,0,t,strict_14_with_grace_period
f,17,f,Hennepin,Hostel,Hotel room,1,1.5,1,1,25,,1,999,41,t,moderate
f,17,f,Hennepin,Hostel,Hotel room,1,1.5,1,1,25,0,1,999,36,t,moderate
f,17,f,Hennepin,Hostel,Hotel room,1,1.5,1,1,25,0,1,999,31,t,moderate
f,17,f,Hennepin,Hostel,Hotel room,1,1.5,1,1,25,0,1,999,73,t,moderate
f,1,t,Hennepin,Apartment,Entire home/apt,7,1,3,4,150,0,3,1124,25,t,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Entire home/apt,4,1,1,1,75,0,1,1125,4,f,flexible
t,1,t,Hennepin,Bungalow,Private room,2,1,1,1,45,0,1,14,215,t,flexible
t,1,t,Hennepin,House,Entire home/apt,9,3,3,6,200,500,2,1124,107,f,strict_14_with_grace_period
f,1,t,Hennepin,Townhouse,Private room,1,1.5,1,1,22,150,14,62,23,t,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,2,1,1,1,45,0,2,90,138,f,moderate
t,1,t,Hennepin,House,Entire home/apt,4,1,1,2,125,200,13,1125,16,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,10,3.5,4,4,2250,1000,5,9,0,t,strict_14_with_grace_period
t,13,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,165,0,2,45,108,t,moderate
f,1,f,Ramsey,House,Entire home/apt,9,1.5,4,5,120,500,1,10,14,t,moderate
f,4,t,Hennepin,Condominium,Entire home/apt,2,1,1,1,70,250,21,1125,1,f,strict_14_with_grace_period
t,1,t,Ramsey,House,Entire home/apt,4,1.5,2,2,125,250,2,90,63,t,moderate
t,2,f,Hennepin,House,Private room,1,1,1,1,46,1000,2,150,55,t,moderate
f,3,f,Hennepin,Apartment,Entire home/apt,11,2,5,6,275,275,2,45,32,t,moderate
t,2,f,Hennepin,House,Entire home/apt,5,1,2,2,149,250,3,120,36,f,flexible
f,1,t,Ramsey,House,Private room,6,2,3,3,200,1000,2,1125,8,f,moderate
t,13,t,Hennepin,Apartment,Entire home/apt,6,1,2,4,99,100,2,1125,14,f,strict_14_with_grace_period
f,1,f,Hennepin,Apartment,Private room,3,1,1,2,66,,2,3,0,t,flexible
f,1,f,Hennepin,House,Entire home/apt,6,1,3,3,99,500,2,60,2,f,flexible
t,1,t,Hennepin,House,Entire home/apt,8,2.5,4,5,1000,2000,2,300,18,t,strict_14_with_grace_period
f,1,f,Ramsey,Apartment,Entire home/apt,6,1,2,3,85,0,2,90,4,f,flexible
f,1,f,Hennepin,Townhouse,Entire home/apt,6,3.5,3,3,1999,300,3,5,0,f,strict_14_with_grace_period
t,1,t,Wright,Guesthouse,Entire home/apt,2,1,0,1,87,0,1,7,86,t,moderate
t,26,f,Ramsey,Apartment,Entire home/apt,2,1,0,1,84,0,1,90,299,f,moderate
t,9,t,Hennepin,House,Private room,3,1.5,1,2,60,100,2,1125,41,f,moderate
f,1,f,Hennepin,Apartment,Entire home/apt,3,1,1,1,450,,2,7,1,t,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,8,1.5,3,3,280,0,2,1125,1,t,flexible
f,1,f,Hennepin,House,Entire home/apt,8,2,4,4,150,150,1,1125,3,f,moderate
t,2,t,Hennepin,House,Entire home/apt,8,1,3,2,110,0,3,21,6,t,strict_14_with_grace_period
t,2,t,Hennepin,House,Shared room,1,1,1,1,32,,2,20,46,t,flexible
f,1,f,Anoka,House,Entire home/apt,6,3,3,3,2000,2000,4,7,0,t,flexible
t,1,f,Scott,House,Entire home/apt,4,1,2,2,100,0,2,14,43,f,flexible
t,3,t,Anoka,House,Private room,1,1,1,1,38,0,3,10,28,t,moderate
f,2,f,Hennepin,Apartment,Shared room,1,1,1,1,500,100,1,1125,0,t,flexible
t,8,f,Hennepin,House,Entire home/apt,7,2,4,4,130,100,28,1125,26,t,strict_14_with_grace_period
f,1,f,Hennepin,House,Entire home/apt,7,2,3,3,3000,,5,1125,0,t,flexible
t,2,t,Hennepin,Apartment,Shared room,1,1,1,0,80,100,3,30,19,f,moderate
f,1,f,Ramsey,House,Private room,1,1,1,1,600,,1,1125,0,t,flexible
t,7,t,Hennepin,Loft,Entire home/apt,2,1,0,1,90,0,1,1125,132,f,moderate
f,1,t,Hennepin,Apartment,Entire home/apt,6,1,3,3,400,0,2,4,2,t,flexible
f,7,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,80,0,1,1125,302,f,moderate
f,1,f,Hennepin,House,Entire home/apt,10,3.5,3,3,2500,,3,1125,0,t,flexible
