host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy
t,10,t,Anoka,House,Private room,2,1,1,1,75,200,3,365,16,f,strict_14_with_grace_period
f,3,t,Hennepin,Apartment,Entire home/apt,4,2,2,2,100,,365,1095,1,f,flexible
t,1,t,Hennepin,House,Private room,2,1,1,1,75,0,1,300,97,f,moderate
f,1,t,Hennepin,House,Entire home/apt,10,2,3,6,325,500,2,21,17,f,strict_14_with_grace_period
f,1,f,Scott,House,Private room,4,1,1,2,350,,1,6,0,f,flexible
f,1,t,Ramsey,Apartment,Entire home/apt,4,1,1,2,85,250,9,45,105,f,strict_14_with_grace_period
f,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,1,150,300,2,1125,26,f,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,155,500,7,365,22,t,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,5,1,2,2,155,500,7,365,17,t,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,3,1,1,2,135,500,7,365,18,t,strict_14_with_grace_period
f,1,t,Hennepin,House,Private room,3,1,1,2,75,300,2,30,37,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,10,1,3,8,189,300,2,365,7,f,moderate
f,41,f,Hennepin,House,Entire home/apt,16,3,8,16,637,500,2,365,2,f,moderate
f,3,t,Hennepin,House,Private room,1,1.5,1,1,55,,3,1125,16,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,4,1,2,3,70,300,1,1125,21,t,strict_14_with_grace_period
t,1,t,Anoka,House,Private room,3,1,1,1,50,,1,14,119,f,moderate
t,6,f,Hennepin,Condominium,Entire home/apt,2,1,0,0,57,500,30,1125,13,t,flexible
f,3,t,Hennepin,Apartment,Entire home/apt,6,1,3,4,180,200,1,1125,129,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,4,1,2,2,300,500,3,1125,29,f,strict_14_with_grace_period
t,1,t,Hennepin,House,Private room,4,1,2,2,60,300,2,1125,147,f,moderate
f,2,t,Hennepin,Loft,Private room,2,1,0,1,59,0,2,20,99,t,moderate
t,2,f,Hennepin,House,Entire home/apt,6,2,3,3,125,1000,2,7,56,f,strict_14_with_grace_period
t,3,t,Hennepin,Guest suite,Entire home/apt,2,1,1,1,79,0,1,365,156,t,moderate
t,4,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,87,100,1,30,254,t,moderate
f,3,f,Hennepin,House,Private room,2,1.5,1,1,400,,2,1125,0,t,strict_14_with_grace_period
f,1,f,Dakota,House,Private room,1,1.5,1,1,100,,1,1125,0,f,flexible
f,1,t,Hennepin,House,Private room,1,2,1,1,90,,1,1125,0,f,flexible
t,5,t,Hennepin,Apartment,Entire home/apt,6,1,3,3,189,500,1,15,31,f,moderate
